iter	Logloss
0	0.683284617
1	0.6722350558
2	0.6617400863
3	0.6523435576
4	0.6435220583
5	0.6350422166
6	0.6268108181
7	0.6195072758
8	0.6112801575
9	0.6040729604
10	0.5985655811
11	0.5916745063
12	0.5857417674
13	0.5803787879
14	0.575621043
15	0.5695468481
16	0.5642047841
17	0.5591399824
18	0.5556033109
19	0.5509774723
20	0.547225248
21	0.5429263687
22	0.5394459046
23	0.5353708143
24	0.5317578274
25	0.5283493586
26	0.5249284465
27	0.5215144592
28	0.5183602905
29	0.5158859537
30	0.5133969465
31	0.5105383451
32	0.5081969314
33	0.5054932491
34	0.5035089554
35	0.501270878
36	0.4986596995
37	0.4960883726
38	0.4935059411
39	0.4915092596
40	0.4897946707
41	0.4879240088
42	0.4862617245
43	0.4843426293
44	0.4829082578
45	0.4817122598
46	0.4803032977
47	0.4788558795
48	0.4771827405
49	0.475646797
50	0.4741642596
51	0.472545164
52	0.4711266048
53	0.4698410687
54	0.4682481473
55	0.4667669072
56	0.4654413259
57	0.4643344118
58	0.4632348199
59	0.4620049952
60	0.4608058793
61	0.459835957
62	0.4589060216
63	0.4577245826
64	0.456618721
65	0.4554367148
66	0.4540826661
67	0.4531368723
68	0.4524369084
69	0.4512291511
70	0.4505298186
71	0.4495018005
72	0.4486029126
73	0.4477704473
74	0.4470237458
75	0.4464390529
76	0.4456572307
77	0.4450271326
78	0.4444083533
79	0.443703272
80	0.4429742977
81	0.4424051674
82	0.4416604687
83	0.4409137371
84	0.4402770919
85	0.439663597
86	0.4390625871
87	0.4386132284
88	0.4379516977
89	0.4371451985
90	0.4364881951
91	0.4359223382
92	0.4352903693
93	0.4347142975
94	0.4343548985
95	0.4339138263
96	0.4335704191
97	0.4330189924
98	0.4325047628
99	0.4319145303
100	0.4315986528
101	0.4311074902
102	0.430601718
103	0.4301467299
104	0.4294249041
105	0.4286425218
106	0.4282811822
107	0.4279665833
108	0.4273770112
109	0.4269174131
110	0.4266839952
111	0.4261888754
112	0.425758775
113	0.425388653
114	0.4250495885
115	0.4246644558
116	0.424187135
117	0.4238845494
118	0.4234802187
119	0.4232272384
120	0.4225623923
121	0.4222078748
122	0.4215062648
123	0.4212011986
124	0.4208591184
125	0.4204501729
126	0.4202925254
127	0.4199671551
128	0.4196496691
129	0.4192737843
130	0.4190070851
131	0.4187155609
132	0.4182923972
133	0.4179200697
134	0.4175151096
135	0.4169202926
136	0.4166724301
137	0.4162987301
138	0.4160046308
139	0.4157125775
140	0.4152960041
141	0.4149955812
142	0.4146875678
143	0.4144518489
144	0.4142098002
145	0.4140339268
146	0.4138619321
147	0.4135583512
148	0.4134103195
149	0.4130820869
150	0.4126573978
151	0.4124013857
152	0.4122416829
153	0.4116746638
154	0.4114090091
155	0.411225736
156	0.4109940566
157	0.4106957751
158	0.4105312658
159	0.410377566
160	0.4101081693
161	0.4098952464
162	0.4096828096
163	0.409455557
164	0.4091979147
165	0.4089348578
166	0.408759697
167	0.4085977031
168	0.4083679044
169	0.4080464836
170	0.4074926362
171	0.4072298222
172	0.4070581509
173	0.4068166909
174	0.4065774592
175	0.4063691491
176	0.4062329455
177	0.40603055
178	0.4058243182
179	0.4056479909
180	0.4055046157
181	0.4052950466
182	0.4051536404
183	0.4048741499
184	0.404760095
185	0.4042341384
186	0.404042372
187	0.4038790393
188	0.4037873598
189	0.4035929896
190	0.4033915887
191	0.4029957015
192	0.4027570593
193	0.402526173
194	0.4022825669
195	0.4020951673
196	0.4018355233
197	0.4017321937
198	0.4015584104
199	0.4013545155
200	0.4012334003
201	0.4010638482
202	0.4007249819
203	0.4006011544
204	0.4004102076
205	0.4001043615
206	0.3999615159
207	0.3998285795
208	0.3996941118
209	0.3995777484
210	0.3992275143
211	0.3990485325
212	0.3988893972
213	0.3987135508
214	0.3985745768
215	0.3983994189
216	0.3982852736
217	0.3981822238
218	0.3980426729
219	0.3978856932
220	0.3977788105
221	0.3974970873
222	0.3973873951
223	0.3973507076
224	0.3972194617
225	0.3970569862
226	0.3968925301
227	0.3967241161
228	0.3965335661
229	0.396410191
230	0.3962882281
231	0.396186268
232	0.3961060749
233	0.3960230341
234	0.3958277431
235	0.3957090332
236	0.3955642811
237	0.3953288358
238	0.3951777672
239	0.3950188494
240	0.3948960038
241	0.3947416838
242	0.3945230984
243	0.3944282562
244	0.3942901805
245	0.3941617719
246	0.3940442539
247	0.3938957956
248	0.3937886577
249	0.3936328037
250	0.3935025623
251	0.3934108875
252	0.3932026184
253	0.3930524577
254	0.3929491231
255	0.3928279972
256	0.3926687352
257	0.3925735168
258	0.392484007
259	0.3924192217
260	0.3921591197
261	0.391990317
262	0.3918756463
263	0.3916912663
264	0.3915695834
265	0.3915027583
266	0.3913852969
267	0.3912741514
268	0.3911135254
269	0.3910238317
270	0.3908506492
271	0.3906427912
272	0.3905503706
273	0.3903750046
274	0.3903009241
275	0.3901438134
276	0.3899945576
277	0.3897576584
278	0.3895803148
279	0.3894883437
280	0.3894052624
281	0.3892267135
282	0.3890356327
283	0.3888860684
284	0.3887475548
285	0.3884998025
286	0.3883446119
287	0.3881427346
288	0.3880112744
289	0.3878934944
290	0.3877703632
291	0.3876354917
292	0.3874864969
293	0.3873334095
294	0.3871730857
295	0.3870722191
296	0.386919466
297	0.3868246378
298	0.3865544944
299	0.38633868
300	0.3861613987
301	0.3860981818
302	0.3859619595
303	0.3859069806
304	0.3857629956
305	0.3856818069
306	0.3854454814
307	0.3853072694
308	0.3851828719
309	0.3850332454
310	0.3849287342
311	0.3847413496
312	0.3846528978
313	0.3845433947
314	0.3844792974
315	0.3843356696
316	0.3842360332
317	0.3840936772
318	0.3839793549
319	0.3838808792
320	0.3838203433
321	0.383673889
322	0.3835471577
323	0.383441074
324	0.3833518826
325	0.3832579283
326	0.3831794166
327	0.3830741554
328	0.3829365113
329	0.3828384473
330	0.3827203333
331	0.3826087597
332	0.382536777
333	0.3824644603
334	0.3823133588
335	0.3821836109
336	0.3820111358
337	0.3819135212
338	0.3818025542
339	0.3816972325
340	0.3815731385
341	0.3814848739
342	0.3813680946
343	0.3812762217
344	0.3811376572
345	0.381059244
346	0.3809746122
347	0.3807951716
348	0.3806860243
349	0.380591932
350	0.3804834105
351	0.3803927162
352	0.3802341665
353	0.3801309116
354	0.3800284854
355	0.3799417086
356	0.3797221755
357	0.3796465489
358	0.3795494028
359	0.3794817861
360	0.3793519793
361	0.3792891328
362	0.379097008
363	0.3789731584
364	0.3788546689
365	0.3786842648
366	0.3785621173
367	0.3784342588
368	0.3782660712
369	0.3780553449
370	0.3778476606
371	0.3777215221
372	0.3776050251
373	0.3774509037
374	0.3773256157
375	0.377195604
376	0.377110753
377	0.3769843177
378	0.376853191
379	0.3767476851
380	0.3766133725
381	0.3764706323
382	0.3762997411
383	0.376160825
384	0.3760080614
385	0.3759240023
386	0.3757729059
387	0.3757030448
388	0.3756418543
389	0.3755857007
390	0.3754460207
391	0.3752463757
392	0.3750525438
393	0.3749377627
394	0.3747845964
395	0.374639806
396	0.3745559178
397	0.374368539
398	0.3741694668
399	0.3740776563
400	0.3739953745
401	0.3739220717
402	0.3738002173
403	0.3736204842
404	0.3734764003
405	0.3733892903
406	0.3732098615
407	0.3731087371
408	0.3729260448
409	0.3728201224
410	0.3727182129
411	0.3726465882
412	0.3724636821
413	0.3723569222
414	0.3722799604
415	0.3721865173
416	0.3720131886
417	0.3719140213
418	0.3717812655
419	0.3717311523
420	0.3716562866
421	0.3715582994
422	0.3714871167
423	0.3713629234
424	0.3711389898
425	0.3709616272
426	0.3708009583
427	0.3706877699
428	0.3704286244
429	0.370312639
430	0.3701613401
431	0.3700528117
432	0.3699886797
433	0.369923254
434	0.3698143662
435	0.3696290445
436	0.3694845989
437	0.3693412885
438	0.3692034753
439	0.3690914433
440	0.3689101557
441	0.3688113933
442	0.368686135
443	0.3685247617
444	0.36844058
445	0.3683270211
446	0.3681761281
447	0.3679952726
448	0.3678482583
449	0.3677257635
450	0.3676389692
451	0.3675624068
452	0.3674491578
453	0.3673596501
454	0.3672814015
455	0.3671629886
456	0.3670538314
457	0.3668957703
458	0.3667529664
459	0.366662264
460	0.3665596977
461	0.3664559233
462	0.3663621549
463	0.3662526592
464	0.3661595007
465	0.3660788257
466	0.365975601
467	0.365839821
468	0.3657623899
469	0.3655902228
470	0.3655094402
471	0.3653269247
472	0.3652578438
473	0.3651731781
474	0.3649831022
475	0.3648362626
476	0.3646737802
477	0.3645722635
478	0.3644534077
479	0.364358188
480	0.3642581856
481	0.3640822622
482	0.3638931327
483	0.3638179515
484	0.3637216069
485	0.3636356064
486	0.3634722084
487	0.3633394796
488	0.3632387469
489	0.3631631374
490	0.3630448432
491	0.3628932338
492	0.3627283646
493	0.3626534711
494	0.3625120444
495	0.3624279126
496	0.3623032936
497	0.3621440726
498	0.362031992
499	0.3619116883
500	0.3618135772
501	0.3617216171
502	0.3616661171
503	0.3615599234
504	0.3614711677
505	0.361371071
506	0.3612581994
507	0.3611811436
508	0.3610723147
509	0.3609823353
510	0.3609174741
511	0.3607337321
512	0.3606017941
513	0.360524054
514	0.360403772
515	0.3603385631
516	0.3602223889
517	0.3601189696
518	0.3599814975
519	0.359855904
520	0.3597258452
521	0.3595325274
522	0.3594385754
523	0.3593357276
524	0.359269774
525	0.3591249973
526	0.3589941079
527	0.3588226015
528	0.3587275034
529	0.3586458882
530	0.3585418665
531	0.3584683907
532	0.3583953984
533	0.3582627066
534	0.358095239
535	0.3580077895
536	0.3579317647
537	0.3577940711
538	0.3577345402
539	0.3576687661
540	0.3575893338
541	0.3574534142
542	0.3574042266
543	0.3572856897
544	0.3571862134
545	0.3570975389
546	0.3570074006
547	0.3569181764
548	0.3568309838
549	0.3567024691
550	0.3565795614
551	0.3564837959
552	0.3564176528
553	0.3563163982
554	0.356214223
555	0.3561203543
556	0.3560224624
557	0.3557834692
558	0.3557035279
559	0.3555869839
560	0.3555054596
561	0.3553913992
562	0.3553356581
563	0.3552302679
564	0.355108717
565	0.3550074851
566	0.3548865228
567	0.354794379
568	0.3547278801
569	0.3546155146
570	0.3545271088
571	0.3543846422
572	0.3543566777
573	0.3542214593
574	0.3539968878
575	0.3538982299
576	0.3538040397
577	0.3537031029
578	0.3536494677
579	0.353532564
580	0.3534498787
581	0.3533709398
582	0.3532939311
583	0.3531342873
584	0.3530674444
585	0.35297629
586	0.3528783123
587	0.3527717586
588	0.352654747
589	0.3525070723
590	0.3524337443
591	0.3522806705
592	0.3521861959
593	0.3520872098
594	0.3519571543
595	0.3519054831
596	0.3518297437
597	0.3517232794
598	0.3516381792
599	0.3515704985
600	0.3515071227
601	0.3514078383
602	0.3513100607
603	0.3512207097
604	0.3511556159
605	0.3511006242
606	0.3510114823
607	0.3509889282
608	0.3508651543
609	0.3507641226
610	0.350650752
611	0.3505204892
612	0.3503900206
613	0.3502657386
614	0.3501881968
615	0.3500661765
616	0.3499867131
617	0.3499003804
618	0.3497864251
619	0.3496971928
620	0.3496118402
621	0.3495124516
622	0.3494690183
623	0.3493791236
624	0.3492897902
625	0.3490850553
626	0.3490041384
627	0.3489255896
628	0.3488486923
629	0.3487845849
630	0.3487650705
631	0.3486503019
632	0.3485785325
633	0.3484936196
634	0.3483928069
635	0.3483203847
636	0.3482159521
637	0.348126725
638	0.34805473
639	0.3479214288
640	0.347798215
641	0.3477159833
642	0.3475622498
643	0.3474548258
644	0.3473502251
645	0.3472270927
646	0.347134242
647	0.3470398676
648	0.3469819453
649	0.3469183018
650	0.3467380283
651	0.346637258
652	0.3464583577
653	0.3463702154
654	0.3462316517
655	0.3461459156
656	0.346057751
657	0.3459859644
658	0.3458994932
659	0.345736347
660	0.3456538496
661	0.3455447656
662	0.3454718468
663	0.3454186728
664	0.3453282156
665	0.3452771983
666	0.3451519379
667	0.3450528396
668	0.344998631
669	0.3449182812
670	0.3448575451
