iter	Passed	Remaining
0	1	1965
1	3	1848
2	5	1829
3	7	1815
4	8	1787
5	10	1759
6	12	1774
7	14	1759
8	16	1761
9	17	1774
10	19	1769
11	21	1767
12	23	1766
13	25	1765
14	26	1761
15	28	1757
16	30	1761
17	32	1755
18	33	1755
19	35	1759
20	37	1761
21	39	1760
22	41	1764
23	43	1759
24	45	1757
25	47	1765
26	49	1769
27	50	1766
28	52	1768
29	54	1762
30	56	1759
31	58	1757
32	59	1757
33	61	1752
34	63	1745
35	65	1749
36	67	1744
37	68	1745
38	70	1745
39	72	1742
40	74	1740
41	76	1741
42	78	1740
43	80	1739
44	81	1738
45	83	1735
46	85	1735
47	87	1733
48	89	1735
49	91	1734
50	93	1739
51	95	1741
52	97	1738
53	99	1737
54	101	1737
55	102	1734
56	104	1731
57	106	1731
58	108	1730
59	110	1728
60	112	1727
61	114	1724
62	115	1722
63	117	1721
64	119	1720
65	121	1716
66	123	1713
67	124	1711
68	126	1709
69	128	1706
70	130	1706
71	132	1703
72	134	1703
73	135	1701
74	137	1699
75	139	1697
76	141	1694
77	143	1692
78	144	1690
79	146	1688
80	148	1686
81	150	1685
82	152	1686
83	154	1684
84	156	1682
85	158	1681
86	160	1680
87	161	1678
88	163	1676
89	165	1675
90	167	1672
91	169	1670
92	171	1669
93	172	1666
94	174	1664
95	176	1661
96	178	1658
97	179	1656
98	181	1653
99	183	1650
100	185	1647
101	186	1645
102	188	1645
103	190	1643
104	192	1640
105	194	1638
106	196	1636
107	197	1634
108	199	1632
109	201	1630
110	203	1628
111	205	1625
112	206	1623
113	208	1620
114	210	1617
115	212	1615
116	213	1614
117	215	1611
118	217	1609
119	219	1607
120	220	1604
121	222	1603
122	224	1600
123	226	1598
124	228	1596
125	229	1594
126	231	1592
127	233	1590
128	235	1588
129	237	1586
130	238	1585
131	240	1584
132	242	1583
133	245	1584
134	247	1582
135	248	1581
136	250	1579
137	252	1578
138	254	1576
139	256	1574
140	258	1573
141	259	1570
142	261	1567
143	263	1565
144	265	1563
145	266	1560
